# DNA Thermal Melt Experiments; two oligos at 1.5 µM
T,A260_1,A260_2
1.0,0.148,0.153
2.0,0.15,0.155
3.0,0.149,0.154
4.0,0.145,0.156
5.0,0.151,0.152
6.0,0.153,0.15
7.0,0.151,0.15
8.0,0.146,0.153
9.0,0.152,0.151
10.0,0.151,0.158
11.0,0.151,0.158
12.0,0.15,0.162
13.0,0.145,0.158
14.0,0.153,0.162
15.0,0.154,0.163
16.0,0.152,0.163
17.0,0.147,0.17
18.0,0.151,0.17
19.0,0.152,0.172
20.0,0.148,0.176
21.0,0.15,0.172
22.0,0.148,0.172
23.0,0.149,0.182
24.0,0.149,0.181
25.0,0.155,0.184
26.0,0.145,0.189
27.0,0.155,0.191
28.0,0.158,0.192
29.0,0.16,0.199
30.0,0.155,0.2
31.0,0.157,0.201
32.0,0.163,0.205
33.0,0.166,0.204
34.0,0.168,0.209
35.0,0.172,0.211
36.0,0.178,0.213
37.0,0.175,0.213
38.0,0.18,0.218
39.0,0.189,0.221
40.0,0.193,0.219
41.0,0.195,0.212
42.0,0.2,0.222
43.0,0.209,0.226
44.0,0.208,0.219
45.0,0.214,0.224
46.0,0.213,0.218
47.0,0.221,0.225
48.0,0.22,0.226
49.0,0.222,0.23
50.0,0.218,0.227
51.0,0.221,0.225
52.0,0.225,0.228
53.0,0.227,0.232
54.0,0.232,0.23
55.0,0.226,0.232
56.0,0.226,0.228
57.0,0.233,0.224
58.0,0.229,0.225
59.0,0.234,0.228
60.0,0.227,0.225
61.0,0.234,0.23
62.0,0.226,0.226
63.0,0.233,0.228
64.0,0.233,0.227
65.0,0.23,0.225
66.0,0.231,0.23
67.0,0.23,0.236
68.0,0.23,0.228
69.0,0.231,0.226
70.0,0.229,0.231
71.0,0.229,0.224
72.0,0.223,0.231
73.0,0.232,0.233
74.0,0.23,0.23
75.0,0.231,0.229
76.0,0.228,0.225
77.0,0.231,0.227
78.0,0.232,0.232
79.0,0.223,0.232
80.0,0.231,0.232
81.0,0.227,0.232
82.0,0.228,0.235
83.0,0.234,0.231
84.0,0.228,0.232
85.0,0.231,0.232
86.0,0.228,0.234
87.0,0.231,0.232
88.0,0.227,0.228
89.0,0.23,0.235
90.0,0.228,0.231
91.0,0.229,0.231
92.0,0.23,0.235
93.0,0.229,0.231
94.0,0.231,0.236
95.0,0.226,0.229
96.0,0.225,0.232
97.0,0.23,0.229
98.0,0.227,0.227
99.0,0.228,0.235
100.0,0.232,0.232
